Aspect_Ratio,Circularity,Solidity,Mean_Blue,Mean_Green,Mean_Red,Std_Blue,Std_Green,Std_Red,Blue_Green_Ratio,Green_Red_Ratio,Blue_Minus_Green,Aspect_Circularity,Shape_Score,Total_Color_Variation,Color_Variation_Product,Mean_Green_Normalized,Label
0.75,0.298165079152404,0.9987908380904753,143.1560952006999,158.87559034148828,164.91440180795198,45.035830499756905,43.00090981718655,43.790155364794266,0.8954218395373792,0.9575756450931173,-15.719495140788382,0.22362380936430298,2.433760509344036,131.8268956817377,84803.21290051859,0.3402439695834847,1
1.3333333333333333,0.2420878152075921,0.9978947013388335,131.24779765732507,142.80962514719872,144.73309848908156,64.24347672923999,63.244889346514746,59.899225968524995,0.912649605497436,0.9799395376054406,-11.56182748987365,0.3227837536101228,5.289162160556412,187.38759204427973,243374.84251558728,0.34100491268539923,1
1.3333333333333333,0.31025486821551773,0.9985333234091431,125.58244514482404,137.99498405259646,145.05520013782052,49.019200776967246,39.45983268051744,42.277600321086844,0.9035034321620048,0.944813905443844,-12.41253890777243,0.4136731576206903,4.163350711146903,130.75663377857154,81777.11672864706,0.3376993762761558,1
1.3333333333333333,0.33610912804254883,0.9988368756099869,139.78097144441764,151.8026376516394,156.17590884306406,38.40777328960447,40.18633681500549,48.72910966658534,0.9147811424766852,0.9658136464361741,-12.021666207221756,0.44814550405673176,3.8523495201473574,127.32321977119531,75211.80748920322,0.3390271598252859,1
1.3333333333333333,0.06352101976142041,0.9913014141449289,115.437855542618,128.3768779434867,138.1040641705927,55.23949728889549,52.17098633348283,49.257277434685584,0.8922603279470275,0.922883732469883,-12.939022400868708,0.08469469301522721,18.1354031494676,156.6677610570639,141954.50144494182,0.3361365785898899,1
1.3333333333333333,0.10151092146464312,0.9950442776789963,109.30393767800102,121.50159448402904,128.24486295475242,51.69830724468048,51.11375138587457,51.49387921527023,0.8922654283675577,0.940088384994967,-12.197656806028021,0.13534789528619082,11.956975297312871,154.30593784582527,136072.28867460423,0.3383970499308605,1
1.3333333333333333,0.05146080111422708,0.989975223022545,133.75582258161526,147.6492655551578,153.99980467090523,49.73855188727157,47.240982483130566,51.14130854731003,0.8998081630748712,0.9525771072334313,-13.893442973542534,0.0686144014856361,21.694044157597066,148.12084291771217,120166.6333998425,0.3391079613346826,1
1.3333333333333333,0.013323097481091839,0.958753295765295,123.74910672704071,140.48013884121187,148.74506391337542,51.04236691883295,53.24204434134434,57.80932558322982,0.8746747617058016,0.938128677967488,-16.731032114171157,0.017764129974789118,57.16793553747626,162.0937368434071,157102.62105330327,0.3401667745810746,1
1.3333333333333333,0.006297467704605577,0.9013160038107028,137.41917202572347,153.84695267011384,162.05725762941398,43.62933327610259,43.08886638033099,45.841005190709346,0.8874515749656466,0.9435149033339397,-16.427780644390367,0.008396623606140768,81.81230099670886,132.55920484714292,86178.2710774967,0.33937572750159056,1
1.3333333333333333,0.008672000598536326,0.918364538123637,129.47510587481108,140.97262840645777,146.5234165744774,55.29187629586237,50.05666173106669,47.35118357654734,0.9119723099309879,0.955594926418258,-11.497522531646695,0.0115626674647151,71.4081668055351,152.6997216034764,131055.1373445894,0.3380872468446339,1
1.3333333333333333,0.0567681879397949,0.9904974273123415,124.49835522004179,131.88624195875477,137.96825073130046,58.02554201442144,52.47746500973659,48.82856810172292,0.9368791936992513,0.9490386564177239,-7.387886738712979,0.07569091725305986,19.96958992710128,159.33157512588093,148684.61833827413,0.3344371485021497,1
1.3333333333333333,0.43118435687046164,0.9990598006041994,122.20607610243233,138.43628217631857,153.94006733586656,49.534073465494814,47.06800076191356,44.06242012737012,0.8764295360937803,0.8934827805142719,-16.230206073886237,0.5749124758272821,3.022168199233818,140.66449435477847,102730.20217739293,0.3339173916286661,1
1.3333333333333333,0.1317670537013337,0.9959079504891921,129.64985258396746,144.1623239597448,150.28362202735005,56.10929806878201,55.05499553959202,58.55773979210997,0.8931370692296223,0.9529275015221556,-14.512471375777352,0.1756894049351116,9.405100116860153,169.722033400484,180890.54738955814,0.33992867754286105,1
1.3333333333333333,0.010985240539957628,0.9653028744486437,128.5881548524095,143.79900410735243,150.75954833091347,54.31816458558142,56.76400926845061,61.19039040119854,0.8880458511791671,0.9475450190046495,-15.210849254942929,0.01464698738661017,63.53671909524013,172.27256425523058,188669.35859904115,0.3398325016589849,1
1.3333333333333333,0.0030688144161457086,0.8504572727943049,132.85581327436202,147.06690725184822,153.83579917835146,49.89574882920787,51.91654178294109,56.84906711297745,0.8972687803115011,0.94982496316918,-14.2110939774862,0.004091752554860944,102.02404677857255,158.6613577251264,147262.66077269815,0.33905249250670005,1
1.3333333333333333,0.19493729509343932,0.9973960069699681,137.77087087296889,149.40299056801888,150.27833233401157,56.68491848494049,51.669152400781286,49.860272189336726,0.9160115124882627,0.9876033683273817,-11.632119695049994,0.25991639345791906,6.506055097123302,158.21434307505848,146033.84116925063,0.34152986930696094,1
